,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,hithadhoo,MV,-0.6,73.08,1551567394.0,64.0,100.0,82.43,12.77
1,saint-philippe,CA,45.36,-73.48,1551567317.0,90.0,68.0,28.0,7.29
2,geraldton,CA,49.72,-86.95,1551564000.0,75.0,43.0,10.4,8.05
4,tuktoyaktuk,CA,69.44,-133.03,1551564000.0,20.0,64.0,-2.21,17.22
5,albany,US,42.65,-73.75,1551567362.0,90.0,47.0,37.4,2.37
7,itambacuri,BR,-18.04,-41.68,1551567759.0,12.0,68.0,78.11,11.54
8,upernavik,GL,72.79,-56.15,1551567133.0,20.0,100.0,0.35,0.13
9,siva,GR,35.21,25.04,1551567729.0,75.0,76.0,55.99,10.29
10,bredasdorp,ZA,-34.53,20.04,1551566773.0,56.0,82.0,66.2,2.24
11,bandarbeyla,SO,9.49,50.81,1551567430.0,0.0,100.0,77.16,4.16
13,perundurai,IN,11.28,77.58,1551564000.0,40.0,69.0,77.0,9.17
14,chokurdakh,RU,70.62,147.9,1551567410.0,64.0,75.0,-11.72,16.24
15,dikson,RU,73.51,80.55,1551567248.0,32.0,76.0,-7.71,5.95
16,xique-xique,BR,-10.82,-42.73,1551567611.0,48.0,100.0,71.0,1.14
17,houma,CN,35.63,111.36,1551567760.0,0.0,92.0,26.09,1.59
18,chuy,UY,-33.69,-53.46,1551567113.0,0.0,78.0,67.85,15.01
19,mataura,NZ,-46.19,168.86,1551567006.0,0.0,72.0,62.01,8.99
20,vaini,IN,15.34,74.49,1551567128.0,0.0,85.0,56.96,2.26
21,marovoay,MG,-16.11,46.64,1551564000.0,40.0,94.0,80.6,2.24
22,viedma,AR,-40.81,-62.99,1551567568.0,12.0,45.0,68.03,7.4
23,ushuaia,AR,-54.81,-68.31,1551564000.0,40.0,66.0,53.6,16.11
24,turan,RU,52.15,93.92,1551567761.0,36.0,77.0,3.86,2.04
25,butaritari,KI,3.07,172.79,1551567105.0,68.0,100.0,82.43,15.68
28,alexandria,US,31.31,-92.44,1551567675.0,90.0,77.0,64.4,3.36
30,kaitangata,NZ,-46.28,169.85,1551567223.0,0.0,78.0,65.64,3.83
32,rikitea,PF,-23.12,-134.97,1551567139.0,0.0,100.0,79.1,9.86
33,karratha,AU,-20.74,116.85,1551567763.0,80.0,52.0,85.71,4.72
34,liaozhong,CN,41.51,122.73,1551564000.0,0.0,64.0,35.6,4.47
35,georgetown,GY,6.8,-58.16,1551564000.0,75.0,78.0,80.6,9.17
37,floro,NO,61.6,5.03,1551567401.0,92.0,81.0,42.8,14.99
38,jamestown,AU,-33.21,138.6,1551567309.0,0.0,22.0,90.66,9.98
43,havoysund,NO,71.0,24.66,1551565200.0,75.0,85.0,23.0,31.09
44,esperance,TT,10.24,-61.45,1551567306.0,40.0,69.0,80.6,11.41
45,sabang,PH,13.72,123.58,1551567765.0,24.0,93.0,76.4,4.27
47,hilo,US,19.71,-155.08,1551567382.0,20.0,60.0,75.2,10.29
48,itanhaem,BR,-24.18,-46.79,1551566707.0,90.0,88.0,77.0,11.41
49,thompson,CA,55.74,-97.86,1551565080.0,90.0,57.0,-7.61,10.29
50,najran,SA,17.54,44.22,1551564000.0,5.0,53.0,64.4,6.93
51,provideniya,RU,64.42,-173.23,1551567210.0,20.0,96.0,27.48,7.4
52,taguatinga,BR,-15.83,-48.06,1551567600.0,75.0,93.0,66.2,5.82
53,qaanaaq,GL,77.48,-69.36,1551567223.0,0.0,61.0,3.32,17.25
54,tabou,CI,4.42,-7.36,1551567405.0,8.0,96.0,83.46,5.73
55,victoria,BN,5.28,115.24,1551564000.0,75.0,100.0,77.0,1.14
56,mahebourg,MU,-20.41,57.7,1551566947.0,75.0,78.0,80.6,13.87
57,bethel,US,60.79,-161.76,1551565560.0,90.0,100.0,30.2,8.05
58,xinpu,TW,24.83,121.07,1551567673.0,75.0,94.0,69.01,4.7
60,tateyama,JP,36.66,137.31,1551564000.0,75.0,74.0,35.6,2.15
62,barrow,AR,-38.31,-60.23,1551567335.0,0.0,66.0,60.96,7.07
64,hermanus,ZA,-34.42,19.24,1551566773.0,0.0,94.0,66.0,2.93
66,kamina,CD,-8.74,25.0,1551567768.0,92.0,98.0,66.36,3.49
67,kahului,US,20.89,-156.47,1551567390.0,40.0,47.0,79.0,17.22
68,maceio,BR,-9.67,-35.74,1551564000.0,20.0,74.0,80.6,8.05
69,sandusky,US,41.45,-82.71,1551567649.0,75.0,80.0,35.01,9.17
71,ilulissat,GL,69.22,-51.1,1551563400.0,75.0,85.0,17.6,6.93
72,avarua,CK,-21.21,-159.78,1551564000.0,8.0,74.0,86.0,9.17
73,kapaa,US,22.08,-159.32,1551566904.0,40.0,57.0,77.0,13.87
74,bluff,AU,-23.58,149.07,1551567396.0,0.0,47.0,81.26,12.44
75,hobart,AU,-42.88,147.33,1551567375.0,75.0,88.0,66.0,5.82
76,busselton,AU,-33.64,115.35,1551567126.0,0.0,50.0,62.01,13.22
77,faya,SA,18.39,42.45,1551564000.0,0.0,71.0,57.2,6.93
78,karasjok,NO,69.47,25.52,1551567000.0,0.0,70.0,1.4,26.4
79,atuona,PF,-9.8,-139.03,1551567273.0,0.0,100.0,81.17,8.75
80,nikolskoye,RU,59.7,30.79,1551567034.0,75.0,74.0,28.4,22.37
81,sabha,LY,27.03,14.43,1551567770.0,0.0,63.0,47.24,3.27
82,kodiak,US,39.95,-94.76,1551567379.0,40.0,41.0,28.0,14.99
85,purepero,MX,19.92,-102.02,1551566460.0,5.0,44.0,78.8,6.93
86,camopi,GF,3.17,-52.33,1551567450.0,76.0,67.0,79.68,4.38
89,poum,MK,41.28,20.71,1551567771.0,0.0,74.0,17.18,1.81
90,altamira,BR,-3.2,-52.21,1551564000.0,20.0,94.0,78.8,4.38
93,pisco,PE,-13.71,-76.2,1551564000.0,0.0,30.0,71.6,20.8
94,astana,KZ,51.13,71.43,1551564000.0,90.0,100.0,33.8,24.61
95,kieta,PG,-6.22,155.63,1551567772.0,0.0,95.0,82.88,1.48
96,waddan,LY,29.16,16.14,1551567772.0,0.0,72.0,38.87,2.93
97,tsevie,TG,6.43,1.21,1551564000.0,20.0,83.0,82.4,8.05
98,lima,PE,-12.06,-77.04,1551567604.0,0.0,69.0,79.0,18.34
99,nipawin,CA,53.36,-104.02,1551564000.0,1.0,58.0,-5.81,18.34
101,hearst,CA,49.69,-83.67,1551567582.0,68.0,66.0,14.21,2.93
102,dauphin,CA,51.15,-100.04,1551564000.0,90.0,58.0,-5.81,26.4
103,dubna,RU,56.76,37.14,1551567774.0,64.0,80.0,14.75,17.81
105,carutapera,BR,-1.2,-46.02,1551567613.0,80.0,92.0,77.84,7.96
106,springdale,US,36.19,-94.13,1551567483.0,90.0,100.0,37.99,6.93
107,khatanga,RU,71.98,102.47,1551567403.0,48.0,46.0,-15.99,2.71
109,kemin,KG,42.79,75.7,1551567775.0,88.0,80.0,19.25,1.48
110,saldanha,PT,41.42,-6.55,1551567139.0,8.0,78.0,37.52,4.94
111,castro,CL,-42.48,-73.76,1551564000.0,75.0,67.0,59.0,4.7
112,carnarvon,ZA,-30.97,22.13,1551567220.0,0.0,60.0,59.12,8.08
113,saint-joseph,FR,43.56,6.97,1551567698.0,0.0,93.0,53.6,3.36
116,kadhan,PK,24.48,68.99,1551567776.0,48.0,95.0,59.43,7.96
118,kagadi,UG,0.95,30.8,1551567777.0,12.0,97.0,76.89,6.73
123,itoman,JP,26.12,127.67,1551567360.0,75.0,100.0,73.4,5.82
124,kholodnyy,RU,62.72,147.95,1551567778.0,0.0,51.0,-20.04,3.38
125,camabatela,AO,-8.19,15.37,1551567778.0,92.0,95.0,67.44,3.38
128,severo-kurilsk,RU,50.68,156.12,1551567300.0,0.0,100.0,26.76,14.0
131,novorzhev,RU,57.03,29.33,1551567779.0,92.0,86.0,31.71,24.07
132,aksaray,TR,38.37,34.03,1551565200.0,75.0,87.0,44.6,3.38
133,pangnirtung,CA,66.15,-65.72,1551567501.0,20.0,69.0,-16.13,2.37
134,dingle,PH,11.0,122.67,1551567419.0,36.0,82.0,77.12,9.98
135,waitati,NZ,-45.75,170.57,1551567364.0,0.0,44.0,71.01,3.0
136,saint-pierre,FR,48.95,4.24,1551567768.0,0.0,87.0,48.2,13.87
138,oranjemund,ZA,-28.55,16.43,1551567780.0,92.0,90.0,63.26,13.33
140,zhongshu,CN,24.52,103.77,1551567781.0,0.0,55.0,40.53,4.38
141,marzuq,YE,14.4,46.47,1551567781.0,0.0,86.0,52.82,2.37
142,yellowknife,CA,62.45,-114.38,1551564000.0,20.0,40.0,-0.41,10.29
144,shingu,JP,33.72,135.99,1551567522.0,92.0,100.0,50.39,9.53
145,muros,ES,42.77,-9.06,1551567512.0,90.0,81.0,57.99,6.93
146,daru,SL,7.99,-10.85,1551567782.0,68.0,43.0,82.25,1.81
148,anadyr,RU,64.73,177.51,1551564000.0,75.0,77.0,1.4,11.18
149,cherskiy,RU,68.75,161.3,1551567178.0,56.0,82.0,-5.19,9.19
151,nouakchott,MR,18.08,-15.98,1551565800.0,0.0,16.0,66.2,8.05
152,tonkino,RU,57.37,46.46,1551567783.0,0.0,67.0,-1.46,3.6
153,tezu,IN,27.93,96.16,1551567783.0,0.0,53.0,46.29,2.04
155,longyearbyen,NO,78.22,15.63,1551565200.0,40.0,77.0,3.2,9.17
157,ixtapa,MX,20.71,-105.21,1551567322.0,5.0,61.0,80.6,11.41
162,waingapu,ID,-9.65,120.26,1551567784.0,8.0,93.0,78.92,4.05
163,pevek,RU,69.7,170.27,1551567399.0,24.0,79.0,-4.61,3.94
164,ozernovskiy,RU,51.5,156.52,1551567785.0,0.0,95.0,20.51,9.75
165,carthage,US,32.16,-94.34,1551567423.0,90.0,87.0,55.0,4.7
166,lukaya,UG,-0.15,31.87,1551567785.0,88.0,87.0,67.67,3.15
168,amapa,HN,15.09,-87.97,1551567600.0,20.0,62.0,84.2,18.34
170,susanville,US,40.42,-120.65,1551567378.0,90.0,86.0,39.2,4.7
171,awash,ET,8.99,40.17,1551567786.0,0.0,67.0,64.97,4.94
172,farroupilha,BR,-29.22,-51.34,1551567730.0,0.0,77.0,78.01,2.15
173,faanui,PF,-16.48,-151.75,1551567422.0,44.0,100.0,82.88,5.95
174,avera,US,33.19,-82.53,1551567498.0,40.0,60.0,71.6,6.93
175,coihaique,CL,-45.58,-72.07,1551567600.0,75.0,62.0,57.2,5.82
176,mago,RU,53.27,140.15,1551567788.0,32.0,70.0,6.56,3.15
177,khailar,IN,25.35,78.53,1551567788.0,76.0,68.0,57.09,6.17
178,leningradskiy,RU,69.38,178.42,1551567401.0,44.0,100.0,5.66,6.96
181,taoudenni,ML,22.68,-3.98,1551567457.0,0.0,41.0,47.19,3.15
182,deputatskiy,RU,69.3,139.9,1551567510.0,12.0,35.0,-24.95,2.82
183,sisimiut,GL,66.94,-53.67,1551567509.0,80.0,83.0,6.38,1.92
184,hobyo,SO,5.35,48.53,1551567496.0,0.0,91.0,73.79,7.4
185,kruisfontein,ZA,-34.0,24.73,1551567390.0,0.0,89.0,60.51,2.04
187,macusani,PE,-14.07,-70.43,1551567789.0,68.0,100.0,52.41,0.92
188,horta,ES,41.43,2.16,1551567783.0,0.0,81.0,55.99,1.12
191,airai,TL,-8.93,125.41,1551567528.0,12.0,84.0,76.04,1.92
192,namibe,AO,-15.19,12.15,1551567525.0,24.0,100.0,76.98,1.81
194,necochea,AR,-38.55,-58.74,1551567098.0,0.0,73.0,64.0,3.0
195,narsaq,GL,60.91,-46.05,1551563400.0,56.0,37.0,33.8,8.05
196,launceston,AU,-41.43,147.14,1551567625.0,92.0,77.0,69.01,2.24
198,znamenskoye,RU,57.13,73.82,1551567791.0,92.0,87.0,15.78,15.79
199,luderitz,NA,-26.65,15.16,1551567404.0,0.0,76.0,63.89,20.38
200,yumen,CN,40.29,97.04,1551567791.0,0.0,42.0,16.1,2.04
201,tchaourou,BJ,8.89,2.6,1551567792.0,36.0,48.0,70.68,4.38
203,balkhash,KZ,46.84,74.98,1551567792.0,92.0,86.0,25.55,3.83
205,itarema,BR,-2.92,-39.92,1551567792.0,92.0,100.0,73.11,0.69
207,bilibino,RU,68.06,166.44,1551567570.0,32.0,64.0,-9.51,3.15
209,klaksvik,FO,62.23,-6.59,1551565200.0,92.0,93.0,39.2,24.16
210,vao,EE,59.1,26.19,1551567215.0,76.0,77.0,26.94,10.09
213,fortuna,ES,38.18,-1.13,1551567330.0,20.0,93.0,55.99,3.36
215,kamojima,JP,34.07,134.35,1551567532.0,90.0,87.0,46.99,3.36
216,lusambo,CD,-4.97,23.44,1551567796.0,32.0,96.0,71.49,2.04
217,tazovskiy,RU,67.47,78.7,1551567796.0,56.0,96.0,16.19,16.02
219,atherton,GB,53.52,-2.49,1551567783.0,20.0,70.0,48.99,17.22
220,araouane,ML,18.9,-3.53,1551567797.0,0.0,42.0,53.04,5.95
221,ambon,FR,47.55,-2.56,1551567736.0,90.0,93.0,54.0,12.75
222,ulaangom,MN,49.98,92.07,1551567798.0,0.0,55.0,-5.19,1.14
223,namtsy,RU,62.72,129.66,1551564000.0,75.0,74.0,-25.61,2.93
225,ballina,IE,54.11,-9.15,1551567425.0,44.0,69.0,48.0,18.01
226,lorengau,PG,-2.02,147.27,1551567437.0,8.0,92.0,84.86,6.96
227,mutoko,ZW,-17.4,32.23,1551567798.0,8.0,86.0,57.81,1.36
228,clones,GB,54.18,-7.23,1551567604.0,36.0,76.0,44.01,11.01
229,kaohsiung,TW,22.62,120.31,1551567302.0,40.0,73.0,72.0,3.36
230,salalah,OM,17.01,54.1,1551563400.0,40.0,21.0,78.8,10.29
231,kodinar,IN,20.79,70.7,1551567799.0,88.0,93.0,70.23,3.6
233,oskarshamn,SE,57.26,16.44,1551567604.0,80.0,74.0,37.4,8.05
235,bathsheba,BB,13.22,-59.52,1551564000.0,20.0,69.0,78.8,21.92
237,nome,US,30.04,-94.42,1551567374.0,75.0,73.0,73.4,5.82
238,baghdad,IQ,33.3,44.38,1551564000.0,0.0,53.0,51.8,3.36
240,bonthe,SL,7.53,-12.5,1551567510.0,8.0,81.0,79.19,5.06
241,perwez,BE,50.62,4.81,1551567747.0,88.0,76.0,51.01,19.46
242,pitimbu,BR,-7.47,-34.81,1551567600.0,20.0,88.0,78.8,4.7
243,manokwari,ID,-0.87,134.08,1551567392.0,48.0,100.0,79.41,7.18
245,bud,NO,62.91,6.91,1551567000.0,64.0,80.0,41.0,13.87
247,tasiilaq,GL,65.61,-37.64,1551563400.0,68.0,85.0,14.0,2.24
249,hamilton,CA,43.26,-79.87,1551567340.0,90.0,86.0,32.0,10.29
250,kushiro,JP,43.11,144.15,1551564000.0,20.0,79.0,21.2,2.24
251,yenagoa,NG,4.92,6.26,1551567567.0,32.0,96.0,73.38,2.59
252,giddalur,IN,15.38,78.93,1551567802.0,44.0,90.0,72.17,3.6
253,torbay,CA,47.66,-52.73,1551567210.0,20.0,53.0,26.01,24.16
254,seoul,KR,37.57,126.98,1551565200.0,1.0,74.0,35.6,2.24
255,nouadhibou,MR,20.93,-17.03,1551564000.0,0.0,72.0,64.4,11.41
257,atar,MR,20.52,-13.05,1551567509.0,0.0,20.0,59.84,9.19
258,salym,RU,60.06,71.48,1551567803.0,64.0,78.0,18.35,7.4
259,kampot,KH,10.62,104.18,1551564000.0,20.0,78.0,77.0,1.12
260,impfondo,CD,1.62,18.06,1551567803.0,8.0,96.0,68.66,2.15
261,okhotsk,RU,59.36,143.24,1551567397.0,0.0,100.0,2.19,1.92
262,minnedosa,CA,50.25,-99.84,1551564000.0,20.0,63.0,-7.61,21.92
264,hasaki,JP,35.73,140.83,1551564065.0,75.0,100.0,41.0,6.93
265,vaitape,PF,-16.52,-151.75,1551567804.0,56.0,100.0,83.96,5.28
266,kyrylivka,UA,47.65,37.3,1551567804.0,76.0,76.0,26.0,9.98
268,kati,ML,12.75,-8.07,1551565800.0,0.0,16.0,69.8,3.36
269,tanout,NE,14.97,8.88,1551567805.0,68.0,20.0,75.95,8.97
270,jacareacanga,BR,-6.22,-57.76,1551567805.0,24.0,90.0,76.58,1.59
271,labuhan,ID,-2.54,115.51,1551567805.0,76.0,93.0,74.91,1.14
273,mata,CU,22.63,-79.93,1551563400.0,20.0,42.0,84.2,11.41
274,ipixuna,BR,-1.76,-48.8,1551567600.0,0.0,83.0,78.8,8.05
275,turukhansk,RU,65.8,87.96,1551567806.0,76.0,85.0,16.46,14.67
276,annau,TM,37.89,58.52,1551564000.0,75.0,81.0,42.8,4.7
278,constantine,DZ,36.36,6.61,1551565800.0,20.0,86.0,37.4,1.12
280,neiafu,TO,-18.65,-173.98,1551567600.0,20.0,74.0,86.0,11.41
281,saskylakh,RU,71.97,114.09,1551567219.0,20.0,36.0,-24.72,2.93
282,denizli,TR,37.77,29.09,1551564780.0,75.0,87.0,45.0,4.7
283,saint-augustin,FR,44.83,-0.61,1551567248.0,8.0,93.0,50.0,9.17
284,sardarshahr,IN,28.43,74.48,1551567808.0,56.0,75.0,58.98,13.56
285,tuatapere,NZ,-46.13,167.69,1551567608.0,0.0,72.0,63.0,8.01
286,catuday,PH,16.29,119.81,1551567809.0,48.0,100.0,74.64,6.73
287,sistranda,NO,63.73,8.83,1551567332.0,75.0,100.0,36.0,11.41
288,naisud,PH,11.81,122.19,1551567810.0,24.0,100.0,78.47,11.65
289,tiksi,RU,71.64,128.87,1551567397.0,0.0,32.0,-22.43,4.05
291,galesong,ID,-5.32,119.37,1551564000.0,20.0,100.0,73.4,1.12
292,buala,SB,-8.15,159.59,1551567810.0,92.0,75.0,85.71,2.82
294,batagay-alyta,RU,67.8,130.41,1551567590.0,0.0,39.0,-27.51,2.59
295,coquimbo,CL,-29.95,-71.34,1551564000.0,75.0,72.0,66.2,10.29
296,perth,GB,56.4,-3.43,1551567609.0,40.0,70.0,45.0,25.28
299,shelburne,CA,44.08,-80.2,1551567752.0,90.0,92.0,30.2,6.93
300,normal,US,40.51,-88.99,1551567684.0,90.0,63.0,33.01,10.29
301,teguldet,RU,57.31,88.17,1551567812.0,64.0,81.0,13.13,2.48
302,ukiah,US,39.15,-123.21,1551567805.0,90.0,76.0,59.0,5.82
303,heishan,CN,41.69,122.12,1551567812.0,0.0,77.0,38.19,13.56
304,benguela,AO,-12.58,13.4,1551567813.0,56.0,100.0,79.14,2.93
306,ostrovnoy,RU,68.05,39.51,1551567414.0,0.0,65.0,2.06,10.76
307,acajutla,SV,13.59,-89.83,1551567031.0,0.0,81.0,80.01,4.0
308,novikovo,UA,45.05,34.56,1551567496.0,0.0,100.0,23.79,6.96
309,aquiraz,BR,-3.9,-38.39,1551567491.0,75.0,88.0,79.0,2.24
310,ulundi,ZA,-28.29,31.43,1551567814.0,88.0,94.0,67.31,4.38
311,husavik,CA,50.56,-96.99,1551567240.0,32.0,64.0,-0.01,6.4
313,maniitsoq,GL,65.42,-52.9,1551567814.0,88.0,100.0,20.24,7.85
314,piacabucu,BR,-10.41,-36.43,1551567814.0,76.0,75.0,80.94,7.18
315,luganville,VU,-15.51,167.18,1551567104.0,24.0,96.0,82.74,16.91
317,bismarck,US,46.81,-100.78,1551567513.0,75.0,70.0,-5.01,14.99
318,constitucion,MX,23.99,-104.67,1551567017.0,5.0,7.0,84.2,10.29
319,okha,RU,53.59,142.95,1551567534.0,24.0,94.0,0.39,6.96
320,russell,AR,-33.01,-68.8,1551564000.0,0.0,26.0,84.2,3.36
321,maryville,US,40.35,-94.87,1551567631.0,90.0,48.0,25.0,14.99
322,bowen,AU,-20.01,148.25,1551567435.0,40.0,83.0,79.0,12.75
323,meulaboh,ID,4.14,96.13,1551567160.0,36.0,100.0,78.83,1.92
324,palu,ID,-0.9,119.87,1551567816.0,76.0,94.0,67.94,1.92
325,zaoyang,CN,32.12,112.76,1551567816.0,0.0,77.0,30.86,2.93
326,mahibadhoo,MV,3.78,72.97,1551567817.0,36.0,100.0,82.16,12.88
328,davidson,US,35.5,-80.85,1551567813.0,1.0,66.0,57.99,3.36
